batch_number	bug_id	severity	category	file_line	description
1	R02-204	LOW	Dark Mode Bug	src/index.css:403	The .avatar-ring class uses 'ring-white' and 'ring-offset-charcoal-50' which are light mode colors. No dark mode override exists for .dark .avatar-ring. In dark mode, the white ring and light offset w
1	R02-205	HIGH	Z-Index Conflict	src/index.css:329	Both .modal-backdrop (line 329) and .dropdown-menu (line 307) use z-50. If a dropdown is opened inside a modal, the dropdown will be at the same z-index as the modal backdrop, potentially causing the 
1	R02-209	LOW	Spacing Issue	src/index.css:427	The .skip-link class uses 'left-4' for horizontal positioning (line 429) but the focus state uses 'focus:translate-y-4' (line 435). When the skip link becomes visible on focus, it appears at left-4 (1
1	R02-210	MEDIUM	Dark Mode Bug	src/index.css:747	The .form-group:focus-within label rule (line 747-749) applies 'text-primary-600' when any input inside the form group has focus. There is no dark mode override (.dark .form-group:focus-within label).
1	R02-211	MEDIUM	Animation Bug	src/index.css:498	The .stagger-children animation (lines 498-509) sets 'opacity: 0' on all children and then animates them in with delays. However, if the animation is interrupted or if the JS rendering is slow, childr
1	R02-214	MEDIUM	Dark Mode Bug	src/index.css:86	The light mode scrollbar styling (lines 86-98) uses hardcoded colors (#f1f5f9 track, #cbd5e1 thumb) without CSS custom properties. The dark mode scrollbar (lines 101-111) overrides these, but only for
1	R05-203	HIGH	Semantic HTML	src/index.css:408	Tab component CSS class (.tabs, .tab, .tab-active) defines visual tab styling without requiring corresponding ARIA roles. The CSS-only approach allows developers to apply tab styling to any element (e
1	R05-204	HIGH	ARIA Missing	src/index.css:305	Dropdown menu CSS classes (.dropdown-menu, .dropdown-item) define dropdown styling without requiring role='menu', role='menuitem', or aria-expanded on trigger elements. The CSS-only definition allows 
1	R05-205	HIGH	Focus Trap	src/index.css:328	Modal CSS classes (.modal-backdrop, .modal, .modal-header, .modal-body, .modal-footer) define modal styling without any focus trapping mechanism. The CSS defines z-index and backdrop but provides no f
1	R05-206	MEDIUM	Keyboard Nav Gap	src/index.css:174	Icon button class (.btn-icon) uses only padding and hover styling but lacks visible focus indicator. While the base .btn class includes focus-visible ring styles, .btn-icon is defined separately witho
1	R05-207	MEDIUM	ARIA Missing	src/index.css:231	Search input class (.input-search) adds left padding for a search icon but provides no guidance for including an accessible label or role='search'. The pl-11 padding implies a visual search icon is po
1	R05-208	MEDIUM	Color Contrast	src/index.css:216	Placeholder text color (#94a3b8 equivalent from text-charcoal-400) on white background may fail WCAG 2.2 AA contrast requirements. The .input class uses placeholder:text-charcoal-400 which maps to app
1	R05-213	LOW	Semantic HTML	src/index.css:292	Navigation link classes (.nav-link, .nav-link-active) do not enforce a <nav> landmark wrapper or aria-current='page' on the active link. While the CSS provides visual active state styling, screen read
2	R01-005	HIGH	State Bug	src/components/admin/AuditLogViewer.jsx:261	Refresh button sets loading to true but never triggers data re-fetch. The useEffect at line 93 depends only on dateRange, but the Refresh button only calls setLoading(true) without changing dateRange.
2	R01-006	MEDIUM	React Anti-Pattern	src/components/admin/AuditLogViewer.jsx:428	Dynamic Tailwind CSS class names constructed via string interpolation (e.g., bg-${color}-100) will not work. Tailwind purges classes at build time and cannot detect dynamically composed class names.
2	R02-013	MEDIUM	Color Inconsistency	src/components/admin/AuditLogViewer.jsx:428	Action type badge uses dynamic Tailwind classes constructed via template literals (bg-${actionConfig.color}-100, text-${actionConfig.color}-700) which will not be compiled by Tailwind's JIT engine and
2	R02-014	MEDIUM	Responsive Issue	src/components/admin/AuditLogViewer.jsx:348	Stats grid uses grid-cols-4 without responsive breakpoints, causing four columns to be compressed on mobile viewports
2	R04-014	LOW	IA Problem	src/components/admin/AuditLogViewer.jsx:36	The AuditLogViewer's RESOURCE_TYPES array (line 36-47) uses inconsistent naming for resources that map to the same tools: 'Accessibility Report' vs 'Accessibility Analyzer', 'Alt Text' vs 'Image Alt G
2	R05-009	HIGH	Focus Trap	src/components/admin/AuditLogViewer.jsx:498	Log Detail modal overlay (rendered when selectedLog is set) does not trap focus, lacks role='dialog' and aria-modal, and has no Escape key handler
2	R05-010	HIGH	Keyboard Nav Gap	src/components/admin/AuditLogViewer.jsx:267	Export dropdown menu is only triggered by CSS :hover (group-hover); it cannot be opened or navigated with keyboard alone
2	R08-A-006	HIGH	Audit Trail	src/components/admin/AuditLogViewer.jsx:94-111	The Audit Log Viewer has a TODO placeholder that returns empty logs. No actual audit logging is implemented, making the entire compliance tracking feature non-functional.
2	R10-A-006	MEDIUM	Missing Error State	src/components/admin/AuditLogViewer.jsx:261	The Refresh button at line 261-265 sets loading to true (setLoading(true)) but never triggers a new data fetch. The useEffect that fetches logs at line 93 only depends on [dateRange]. Clicking Refresh
2	R10-A-007	MEDIUM	Feedback Gap	src/components/admin/AuditLogViewer.jsx:664	The retention policy 'Save Policy' button at line 664 only shows a toast success message but does not actually persist the retention policy change. The onClick handler calls toast.success() and closes
2	R10-A-012	MEDIUM	Edge Case	src/components/admin/AuditLogViewer.jsx:382	When the audit log has data but the active filters (search query, action type, resource type, date range) result in zero matching results, the component shows the 'No Audit Logs Yet' empty state (line
2	R01-109	HIGH	React Anti-Pattern	src/components/reports/ReportBuilderPage.jsx:362	The HTML export function embeds reportName directly into an HTML template string without escaping. If the user sets a report name containing HTML tags or script injection payloads, those will be rende
2	R02-105	medium	Dark Mode Bug	src/components/reports/ReportBuilderPage.jsx:743	Report canvas grid background uses hardcoded rgba(0,0,0,0.03) which becomes invisible against dark backgrounds.
2	R02-106	low	Z-Index Conflict	src/components/reports/ReportBuilderPage.jsx:677	Export format dropdown uses z-10 which is lower than many other positioned elements in the application (Navigation z-40, modals z-50, BulkActionsBar z-50).
2	R06-106	MEDIUM	Heading Hierarchy	src/components/reports/ReportBuilderPage.jsx:412	ReportBuilderPage uses h2 for 'Report Builder' (line 412) and h3 elements for sidebar sections (lines 455, 489, 543, 568, 714, 837) but has no h1 element on the page at all. The page title is an <inpu
2	R06-108	HIGH	Meta Tag Issue	src/components/reports/ReportBuilderPage.jsx:362	The HTML export feature in ReportBuilderPage (lines 362-382) generates a standalone HTML document with minimal SEO tags. The exported HTML has <meta charset> and <title> but is missing: meta viewport 
2	R08-B-007	MEDIUM	Missing Feature	src/components/reports/ReportBuilderPage.jsx:522	The delete button for saved reports in the Report Builder sidebar has no confirmation dialog. Clicking the Trash2 icon button immediately calls deleteReport(report.id) without any confirmation prompt.
2	R09-B-002	HIGH	Bundle Size	src/components/reports/ReportBuilderPage.jsx:33	ReportBuilderPage statically imports both jsPDF and html2canvas at the top level. These are heavyweight libraries (jsPDF ~300KB, html2canvas ~200KB minified) that are only needed when the user clicks 
2	R09-B-015	LOW	Build Issue	src/components/reports/ReportBuilderPage.jsx:362	The HTML export function in ReportBuilderPage constructs an HTML string using template literals with unsanitized user input (reportName). The report name is interpolated directly into the HTML title t
2	R10-B-001	HIGH	Flow Break	src/components/reports/ReportBuilderPage.jsx:80	The ReportBuilderPage tracks unsaved changes via hasUnsavedChanges state but never registers a beforeunload listener to warn users when navigating away from the page with unsaved report layouts. The h
2	R10-B-003	HIGH	Undo Missing	src/components/reports/ReportBuilderPage.jsx:174	The Report Builder allows users to delete widgets (removeWidget function at line 174) with a single click and no confirmation dialog or undo capability. Unlike the ScheduledReportsPanel which implemen
2	R10-B-008	MEDIUM	Missing Loading State	src/components/reports/ReportBuilderPage.jsx:255	The saveReport function (line 255-280) performs async operations (createReport/updateReport) but the save button (line 662-670) has no loading state indicator. While the button is disabled when there 
2	R01-003	HIGH	Missing Error Handling	src/components/accessibility/dashboard/AccessibilityDashboard.jsx:536	new URL(page.address) at line 536 will throw if page.address is not a valid URL, crashing the component inside a render path without try-catch.
2	R01-004	LOW	Performance Bug	src/components/accessibility/dashboard/AccessibilityDashboard.jsx:146	handleExportPDF, handleExportExcel, and handleExportVPAT functions are not wrapped in useCallback despite referencing stable dependencies. These get recreated on every render.
2	R02-006	HIGH	Dark Mode Bug	src/components/accessibility/dashboard/AccessibilityDashboard.jsx:199	AccessibilityDashboard top-level container uses light-only gradient (from-charcoal-50 to-white) with no dark: variant, making the entire dashboard render with a bright background in dark mode
2	R02-007	MEDIUM	Dark Mode Bug	src/components/accessibility/dashboard/AccessibilityDashboard.jsx:201	Sticky header uses bg-white/80 and border-charcoal-100/50 without dark mode variants, creating a translucent white bar over content when scrolling in dark mode
2	R03-004	MEDIUM	Terminology Inconsistency	src/components/accessibility/dashboard/AccessibilityDashboard.jsx:128	The score label uses 'Needs Work' while AccessibilityAuditPage.jsx line 190 uses 'needs improvement' for the same score range (50-69). Both describe a compliance score between 50 and 70 but use differ
2	R04-006	MEDIUM	Content Grouping	src/components/accessibility/dashboard/AccessibilityDashboard.jsx:262	Dashboard tab labels use inconsistent content-type terminology. The tabs are: 'Overview', 'Violations', 'Pages', and 'WCAG Reference'. 'WCAG Reference' is an informational/educational resource mixed i
2	R05-006	MEDIUM	Keyboard Nav Gap	src/components/accessibility/dashboard/AccessibilityDashboard.jsx:262	Tab navigation buttons (Overview/Violations/Pages/WCAG Reference) do not use ARIA tablist/tab pattern and lack aria-selected state
2	R05-007	MEDIUM	Form A11y	src/components/accessibility/dashboard/AccessibilityDashboard.jsx:575	Search input for violations has no visible <label> or aria-label; only placeholder text 'Search violations...' provides context
2	R06-016	MEDIUM	Heading Hierarchy	src/components/accessibility/dashboard/AccessibilityDashboard.jsx:218	AccessibilityDashboard uses h1 for the domain name at line 218, then skips to h3 for section headings like 'POUR Principles' (line 391), 'Violations by Impact' (line 433), 'Top Issues to Fix' (line 47
2	R07-A-013	MEDIUM	Missing Disclaimer	src/components/accessibility/dashboard/AccessibilityDashboard.jsx:505	The AccessibilityDashboard displays 'AI Fix' badges and Sparkles icons for issues marked as 'aiFixable' (lines 505-506, 647-650), indicating AI-generated remediation is available. However, the dashboa
3	R02-001	MEDIUM	Spacing Issue	src/App.jsx:153	Main content element has inconsistent indentation (extra 10-space indent) compared to surrounding sibling elements, suggesting a misaligned layout structure that could produce unintended nesting or sp
3	R02-002	HIGH	Dark Mode Bug	src/App.jsx:94	PageLoader uses a hardcoded light-only gradient background (from-charcoal-50 to-white) with no dark: variant, causing a bright flash when lazy-loaded pages render in dark mode
3	R02-016	HIGH	Dark Mode Bug	src/App.jsx:94	HomePage uses light-only gradient (from-charcoal-50 to-white) at line 87, and the Quick Tips section at line 474 has a hardcoded bg-white inner container. Additionally, all stat cards and quick action
3	R02-020	LOW	Typography Bug	src/App.jsx:501	Toast notifications use hardcoded inline styles for typography (fontSize: '14px', fontWeight: '500') and colors (background: '#1e293b', color: '#f8fafc') instead of design system tokens or Tailwind cl
3	R04-001	HIGH	Taxonomy Issue	src/App.jsx:282	Shared audit view route (/audit/shared/:shareId) breaks the /app prefix convention used by all other authenticated-context routes. It sits outside both the /app/* and public route namespaces, creating
3	R04-002	MEDIUM	Labeling Issue	src/App.jsx:186	The public /accessibility route maps to AccessibilityStatement (legal page), while the authenticated /app/accessibility route maps to the Accessibility Audit tool. The identical path segment 'accessib
3	R04-003	MEDIUM	Labeling Issue	src/App.jsx:229	Route /app/planner/projects/:projectId renders SEOChecklist component, but the toolName in the error boundary is 'Content Checklist'. The route path says 'planner/projects', the component name says 'S
3	R05-001	MEDIUM	Screen Reader	src/App.jsx:94	PageLoader spinner (Suspense fallback) has no aria-live region or role='status' to announce loading state to screen readers
3	R06-008	HIGH	Sitemap Gap	src/App.jsx:1	No sitemap.xml file exists anywhere in the project. The application has 15+ public routes (/, /about, /features, /features/:slug, /help, /help/getting-started, /help/resources, /help/glossary, /terms,
3	R09-A-011	MEDIUM	Bundle Size	src/App.jsx:25	Seven public marketing pages (LandingPage, AboutPage, FeaturesPage, FeatureDetailPage, HelpCenterPage, GettingStartedPage, NotFoundPage) are eagerly imported in App.jsx (lines 25-31). These are loaded
3	R01-002	MEDIUM	React Anti-Pattern	src/components/accessibility/VPATReportGenerator.jsx:99	Unused state variables _showPreview and _setShowPreview declared with eslint-disable. The Preview button at line 427-429 has no onClick handler, making it non-functional.
3	R02-008	MEDIUM	Responsive Issue	src/components/accessibility/VPATReportGenerator.jsx:314	Summary stats use grid-cols-5 without responsive breakpoints, causing five columns to compress into unreadable widths on mobile viewports
3	R03-001	MEDIUM	Terminology Inconsistency	src/components/accessibility/VPATReportGenerator.jsx:288	The subtitle says 'WCAG 2.1' while the PDF export title on line 179 says 'WCAG 2.2' and the rest of the app consistently uses 'WCAG 2.2'. The VPAT header subtitle contradicts the export content.
3	R03-002	LOW	Truncation	src/components/accessibility/VPATReportGenerator.jsx:325	The summary stat label 'Does Not' is truncated from 'Does Not Support'. Other labels are either full text or recognizable abbreviations like 'N/A', but 'Does Not' is incomplete and confusing.
3	R03-005	LOW	Missing Label	src/components/accessibility/VPATReportGenerator.jsx:305	The close button (X icon) in the VPAT Report Generator header lacks an aria-label attribute, making it inaccessible to screen readers.
3	R04-004	HIGH	Cognitive Overload	src/components/accessibility/VPATReportGenerator.jsx:101	The VPAT Report Generator renders all 55+ WCAG criteria in a single scrollable list with all 4 principle sections expanded by default (line 101). Each criterion has a conformance dropdown and a remark
3	R04-005	MEDIUM	Labeling Issue	src/components/accessibility/VPATReportGenerator.jsx:288	The header subtitle says 'WCAG 2.1' but the criteria list includes WCAG 2.2 criteria (lines 86-95), and the export PDF title says 'WCAG 2.2 Conformance Report' (line 179). Mixed version labeling withi
3	R05-004	HIGH	ARIA Missing	src/components/accessibility/VPATReportGenerator.jsx:302	Close button (X icon) in VPATReportGenerator header has no aria-label; screen reader users cannot identify its purpose
3	R05-005	MEDIUM	Form A11y	src/components/accessibility/VPATReportGenerator.jsx:387	Conformance <select> dropdowns and remarks <textarea> elements have no associated <label> or aria-label; only a sibling heading provides visual context
3	R01-110	MEDIUM	State Bug	src/components/reports/ScheduledReportsPanel.jsx:169	The toggleSchedule function reads from the stale `schedules` state variable to find the schedule and display the toast message. Because setSchedules is called before the toast, the toast reads the old
3	R02-117	medium	Color Inconsistency	src/components/reports/ScheduledReportsPanel.jsx:402	ScheduledReportsPanel uses dynamic Tailwind class construction (template literals for bg-${color}-100, text-${color}-600, etc.) which will fail with Tailwind's JIT compiler since the full class names 
3	R07-B-016	medium	Missing Disclaimer	src/components/reports/ScheduledReportsPanel.jsx:75-79	The Image Alt Text Audit report type includes an 'includeAIsuggestions' configuration field (line 79) that enables AI-generated alt text suggestions in automated scheduled reports. These AI suggestion
3	R08-B-003	HIGH	Workflow Gap	src/components/reports/ScheduledReportsPanel.jsx:148	The ScheduledReportsPanel stores all schedule data in local React state only. The TODO comment on line 154 ('TODO: Load scheduled reports from Firestore') confirms that scheduled reports are never per
3	R08-B-008	MEDIUM	Scope Gap	src/components/reports/ScheduledReportsPanel.jsx:661	The scheduled report form accepts comma-separated recipient emails (line 661) but performs no email format validation. The handleSubmit function (line 645) only checks that the recipients field is not
3	R10-B-005	MEDIUM	Form UX Issue	src/components/reports/ScheduledReportsPanel.jsx:930	The recipients field in the ScheduleFormModal accepts comma-separated email addresses as free text (line 930) but performs no email format validation. The handleSubmit function (line 645) only checks 
3	R10-B-013	MEDIUM	Form UX Issue	src/components/reports/ScheduledReportsPanel.jsx:1002	The ScheduleFormModal has a multi-step form (3 steps) but the Continue button (line 1002-1009) does not validate the current step before advancing. On Step 1, users can proceed without entering a sche
3	R11-B-008	MEDIUM	Lifecycle Issue	src/components/reports/ScheduledReportsPanel.jsx:154	The ScheduledReportsPanel component uses only local React state (useState) to manage all scheduled reports, with a TODO comment on line 154-155 stating 'Load scheduled reports from Firestore / Reports
4	R01-201	MEDIUM	Missing Error Handling	src/hooks/useNotifications.js:60	markAllAsRead uses a Firestore writeBatch without checking if the number of unread notifications exceeds the Firestore batch limit of 500 operations. If a user has more than 500 unread notifications, 
4	R03-204	LOW	Tone Inconsistency	src/hooks/useNotifications.js:73	Error toast 'Failed to mark all as read' uses a technical/terse phrasing inconsistent with other user-facing messages
4	R04-208	MEDIUM	IA Problem	src/hooks/useNotifications.js:86	The createNotification function (useNotifications.js:86) accepts a 'type' parameter with no validation or import from the canonical NOTIFICATION_TYPES defined in src/utils/roles.js:122. The notificati
4	R05-202	MEDIUM	Screen Reader	src/hooks/useNotifications.js:41	Notification count updates are not announced via ARIA live region. When new notifications arrive through Firestore realtime listener, the unreadCount state changes but there is no aria-live region mec
4	R08-C-008	HIGH	Workflow Gap	src/hooks/useNotifications.js:77	The useNotifications hook only provides markAsRead and markAllAsRead operations but has no capability to delete notifications. Over time, users will accumulate an unbounded number of notification docu
4	R09-C-005	HIGH	Error Logging	src/hooks/useNotifications.js:98	The createNotification function (lines 86-101) silently swallows all errors in its catch block with an empty body and a comment 'Silently fail - notification creation is non-critical'. Similarly, mark
4	R10-C-003	MEDIUM	Missing Error State	src/hooks/useNotifications.js:36	The onSnapshot listener for notifications does not include an error callback handler. If the query fails, the loading state remains true and the user never sees their notifications. Additionally, the 
4	R10-C-004	HIGH	Feedback Gap	src/hooks/useNotifications.js:60	The markAllAsRead function uses Firestore writeBatch without any size limit check. Firestore batches are limited to 500 operations. If a user has more than 500 unread notifications, the batch.commit()
4	R01-202	HIGH	Missing Error Handling	src/hooks/useProjects.js:90	getProject is an async function that calls getDoc without a try/catch. If the Firestore call fails (network error, permission denied), the unhandled promise rejection will crash the caller without any
4	R08-C-001	CRITICAL	Permission Issue	src/hooks/useProjects.js:80	The deleteProject function performs no authorization check before deleting a project document from Firestore. Any authenticated user who obtains a projectId can call deleteProject and permanently remo
4	R08-C-002	CRITICAL	Data Integrity	src/hooks/useProjects.js:80	When a project is deleted, there is no cascade cleanup of related data. The system stores comments (useComments), file attachments (useFileAttachments), time entries (useTimeTracking), project links (
4	R08-C-010	MEDIUM	Lifecycle Issue	src/hooks/useProjects.js:49	The project lifecycle has no status management. The createProject function stores whatever is in projectData without enforcing an initial status. There is no defined project status workflow (e.g., dra
4	R08-C-011	MEDIUM	Audit Trail	src/hooks/useProjects.js:66	Project create, update, and delete operations generate no audit log entries. There is an 'activity_log' collection referenced in useUserProfile.js (line 148), but no project CRUD operation writes to i
4	R09-C-016	LOW	Error Logging	src/hooks/useProjects.js:90	The getProject function (lines 90-97) has no try-catch error handling. If the Firestore getDoc call fails due to a network error, permission issue, or invalid projectId, the error will bubble up as an
4	R10-C-001	HIGH	Missing Error State	src/hooks/useProjects.js:37	The onSnapshot listener in useProjects does not include an error callback. If the Firestore query fails (e.g., due to missing index, permissions error, or network disconnection), the loading state rem
4	R10-C-002	HIGH	Undo Missing	src/hooks/useProjects.js:80	The deleteProject function permanently deletes a project from Firestore without any confirmation dialog or undo mechanism. A simple toast.success is shown after deletion, but there is no way to recove
4	R01-106	MEDIUM	Performance Bug	src/components/readability/ReadabilityIssuesTable.jsx:159	The SortHeader component is defined as a function inside the render body of ReadabilityIssuesTable. This means it is recreated on every render, causing React to unmount and remount all SortHeader inst
4	R03-107	MEDIUM	Terminology Inconsistency	src/components/readability/ReadabilityIssuesTable.jsx:37	Category label 'Technical Access.' is an awkward truncation of 'Technical Accessibility'. This abbreviation with a trailing period is inconsistent with other category labels which are fully spelled ou
4	R03-108	LOW	Terminology Inconsistency	src/components/readability/ReadabilityIssuesTable.jsx:39	Category label 'AI Signals' in the Issues table differs from the 'AI-Specific Signals' label used in the Category Accordion (ReadabilityCategoryAccordion.jsx:49). Users see different names for the sam
4	R04-108	MEDIUM	Taxonomy Issue	src/components/readability/ReadabilityIssuesTable.jsx:37	The CATEGORY_LABELS map in ReadabilityIssuesTable abbreviates 'Technical Accessibility' to 'Technical Access.' (with a trailing period), while the same category is labeled 'Technical Accessibility' in
4	R04-109	LOW	Labeling Issue	src/components/readability/ReadabilityIssuesTable.jsx:39	The CATEGORY_LABELS map in ReadabilityIssuesTable uses 'AI Signals' as the label for the aiSignals category, while ReadabilityCategoryAccordion uses 'AI-Specific Signals'. The shorter label omits the 
4	R05-109	HIGH	Keyboard Nav Gap	src/components/readability/ReadabilityIssuesTable.jsx:309	Table rows with expandable details use onClick on <tr> elements but are not keyboard accessible. The <tr> elements have no tabIndex, role, or onKeyDown handler, so keyboard users cannot expand row det
4	R05-110	HIGH	Keyboard Nav Gap	src/components/readability/ReadabilityIssuesTable.jsx:162	The SortHeader component renders sortable <th> elements with onClick handlers but no keyboard support (same pattern as ReadabilityCoverageTable). The <th> elements are not focusable and have no onKeyD
4	R01-212	MEDIUM	Missing Error Handling	src/hooks/useSchemaLibrary.js:122	incrementUsage calls updateDoc without a try/catch and references the stale `schemas` array from closure state. If the schema was deleted between renders, the find at line 123 may succeed with stale d
4	R03-210	LOW	Tone Inconsistency	src/hooks/useSchemaLibrary.js:62	Auth error message 'Please log in to save schemas' uses 'log in' while useReportBuilder uses 'sign in' for the same scenario
4	R08-C-012	MEDIUM	Scope Gap	src/hooks/useSchemaLibrary.js:108	The deleteSchema function does not verify ownership before deletion. Any authenticated user who knows a schema ID can delete another user's schema from the library. Additionally, schemas can be marked
4	R10-C-010	MEDIUM	Undo Missing	src/hooks/useSchemaLibrary.js:108	The deleteSchema function permanently deletes a schema from the library without any confirmation or undo mechanism. Schemas that users have carefully built, tagged, and used multiple times can be acci
4	R10-C-016	MEDIUM	Missing Error State	src/hooks/useSchemaLibrary.js:50	The onSnapshot error handler for useSchemaLibrary (line 50-53) catches errors and sets loading to false, but does not expose the error to the consuming component. Unlike useReportBuilder which sets an
4	R10-C-017	LOW	Edge Case	src/hooks/useSchemaLibrary.js:122	The incrementUsage function performs a non-atomic read-then-write update on the usageCount field. It reads the current count from the local schemas state (line 123) and then writes the incremented val
4	R11-C-013	MEDIUM	Governance Gap	src/hooks/useSchemaLibrary.js:75	The schema library allows users to mark schemas as public (isPublic: true, line 75) but there is no governance mechanism to review or approve publicly shared schemas. Any user can make a schema public
5	R03-211	MEDIUM	Jargon	src/lib/accessibility/aiSuggestionService.js:42	Error message 'AI not configured. Set VITE_AI_PROXY_URL or VITE_CLAUDE_API_KEY.' leaks environment variable names to end users
5	R07-C-001	CRITICAL	AI Error Handling	src/lib/accessibility/aiSuggestionService.js:133	JSON parsing of AI response uses greedy regex with no structural validation. The regex `/\{[\s\S]*\}/` greedily matches the first '{' to the last '}' in the response, which can capture malformed or ne
5	R07-C-002	HIGH	Missing Disclaimer	src/lib/accessibility/aiSuggestionService.js:91	The suggestViolationFix function returns AI-generated accessibility remediation advice without any disclaimer that the content is AI-generated and should be verified by a qualified accessibility speci
5	R07-C-003	HIGH	Hallucination Risk	src/lib/accessibility/aiSuggestionService.js:196	The generateCompliancePlan function asks the LLM to generate specific remediation timelines ('1-2 weeks'), expected improvement percentages ('+15% compliance'), and resource requirements without groun
5	R07-C-006	MEDIUM	Model Selection	src/lib/accessibility/aiSuggestionService.js:70	Multiple AI service files hardcode different Claude model versions without centralized model configuration. aiSuggestionService.js uses 'claude-sonnet-4-20250514' (line 70), metaGeneratorService.js us
